Metropolitan Statistical Area,First  Quarter  2023,Margin of Error1,Second  Quarter  2023,Margin of Error1,Third  Quarter  2023,Margin of Error1,Fourth  Quarter  2023,Margin of Error1,First  Quarter  2022,Margin of Error1,Second  Quarter  2022,Margin of Error1,Third  Quarter  2022,Margin of Error1,Fourth  Quarter  2022,Margin of Error1,First  Quarter  2021,Margin of Error1,Second  Quarter  2021,Margin of Error1,Third  Quarter  2021,Margin of Error1,Fourth  Quarter  2021,Margin of Error1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Akron, OH ................................................................................................................",64.5,9.4,57.3,9.9,55.3,10.1,68.7,9.5,,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY .....................................................................",79.6,8.1,68.3,9,64.7,9.4,73.2,9,67.6,9.3,62.4,9.6,59.7,9.9,60.8,10.3,69.1,9.5,67.1,9.6,70,9.6,57.9,10
"Albuquerque, NM...................................................................................................",67.2,4.5,68.9,4.4,69.1,4.4,71.3,4.3,80.7,7.5,68.2,9.2,62.7,9.2,70,8.9,69.6,9,61.3,9.8,63.3,10,65.4,9.5
"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.7,9.7,73.4,8.7,75.2,8.9,76.1,8.7,64.5,4.6,67.7,4.5,70.2,4.4,66.8,4.5,68.7,4.4,67.3,4.5,65.3,4.6,64.5,4.6
"Atlanta-Sandy Springs-Roswell, GA1....................................................",66.6,3.6,68,3.6,67.3,3.5,68,3.5,73.4,9.8,78.6,8.2,71.2,9.2,69.2,9.2,75.1,9,65.2,10.4,68.5,9.3,72.6,9.6
"Austin-Round Rock, TX.....................................................................................................",63.4,6,55.8,6,60.7,6,61.5,6,67.6,3.6,67.9,3.6,62.4,3.6,59.9,3.7,66.6,3.6,65.5,3.6,61.5,3.7,63.2,3.7
"Baltimore-Columbia-Towson, MD2.....................................................................................................",72.9,5.2,71.7,5.1,73.4,4.9,73.7,5,57.7,6.3,65,5.8,62.3,5.9,64.6,6.2,64.6,6.9,66.7,6.3,59.2,6.4,59,6.5
"Baton Rouge, LA……………………………………….",64.8,6.2,67.1,6.4,68.1,6.3,72.5,6.1,69.8,5.5,69,5.3,70.8,5.1,72.1,5.2,67.9,5.4,65.8,5.4,68.5,5.4,68,5.6
"Birmingham-Hoover, AL......................................................................................................",67,6.1,68.4,5.8,69.3,5.8,79,5.4,65.9,6.3,71.6,6.1,72.5,5.8,66.9,6,73,6.2,69.2,6.2,69,6.4,70.7,6.3
"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.1,3.5,59.7,3.5,58.5,3.5,60.4,3.5,65.1,6.1,69.8,5.8,72.2,5.8,71,5.8,68.9,6,69,6.1,74.7,5.8,78.1,5.4
"Bridgeport-Stamford-Norwalk, CT.....................................................................",72,7.3,64.5,8,66,7.5,64.9,8,58.4,3.6,58.4,3.6,60.2,3.5,60.7,3.5,61.3,3.5,61,3.5,60.7,3.5,60,3.5
