Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,0.109,0.109,0.109,0.109,0.111,0.111,0.111,0.111,0.111,0.111,0.109,0.109
1991,0.122,0.122,0.122,0.122,0.124,0.124,0.124,0.124,0.124,0.124,0.123,0.123
1992,0.125,0.125,0.125,0.125,0.126,0.126,0.124,0.126,0.125,0.125,0.123,0.125
1993,0.130,0.131,0.131,0.131,0.132,0.132,0.131,0.131,0.131,0.131,0.131,0.131
1994,0.131,0.131,0.130,0.130,0.131,0.131,0.131,0.131,0.131,0.131,0.130,0.130
1995,0.130,0.130,0.130,0.130,0.131,0.131,0.131,0.131,0.131,0.131,0.130,0.130
1996,0.127,0.127,0.127,0.127,0.128,0.128,0.128,0.128,0.128,0.128,0.127,0.127
1997,0.127,0.127,0.127,0.122,0.128,0.128,0.128,0.128,0.128,0.127,0.127,0.127
1998,0.115,0.103,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.108,0.115,0.115
1999,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
2000,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
2001,0.124,0.124,0.124,0.124,0.125,0.168,0.168,0.168,0.168,0.168,0.160,0.160
2002,0.160,0.160,0.160,0.161,0.162,0.162,0.162,0.162,0.162,0.162,0.155,0.155
2003,0.155,0.155,0.155,0.155,0.162,0.158,0.158,0.158,0.158,0.158,0.150,0.150
2004,0.150,0.150,0.142,0.142,0.147,0.145,0.145,0.145,0.145,0.145,0.141,0.141
2005,0.147,0.147,0.146,0.146,0.152,0.152,0.152,0.152,0.152,0.153,0.147,0.147
2006,0.171,0.171,0.174,0.177,0.190,0.190,0.191,0.191,0.198,0.198,0.183,0.183
2007,0.183,0.183,0.181,0.181,0.196,0.196,0.196,0.196,0.196,0.196,0.181,0.181
2008,0.178,0.178,0.182,0.182,0.194,0.194,0.194,0.194,0.194,0.210,0.194,0.194
2009,0.194,0.194,0.202,0.202,0.220,0.220,0.220,0.220,0.220,0.220,0.202,0.202
2010,0.212,0.212,0.218,0.218,0.239,0.222,0.222,0.222,0.222,0.222,0.208,0.208
2011,0.206,0.206,0.211,0.211,0.226,0.226,0.216,0.216,0.216,0.216,0.203,0.203
2012,0.207,0.207,0.209,0.209,0.220,0.220,0.218,0.218,0.218,0.218,0.207,0.207
2013,0.212,0.212,0.212,0.212,0.228,0.228,0.228,0.228,0.228,0.231,0.219,0.219
2014,0.221,0.221,0.222,0.182,0.232,0.233,0.233,0.223,0.223,0.222,0.213,0.213
2015,0.222,0.222,0.224,0.225,0.233,0.233,0.233,0.233,0.227,0.227,0.172,0.172
2016,0.187,0.187,0.191,0.190,0.202,0.200,0.200,0.200,0.200,0.201,0.190,0.190
2017,0.189,0.189,0.201,0.204,0.210,0.210,0.210,0.210,0.210,0.210,0.204,0.204
2018,0.205,0.205,0.212,0.205,0.211,0.211,0.211,0.211,0.214,0.214,0.209,0.209
2019,0.206,0.206,0.208,0.211,0.221,0.221,0.222,0.222,0.222,0.223,0.223,0.223
2020,0.229,0.229,0.230,0.227,0.236,0.240,0.240,0.240,0.240,0.236,0.236,0.236
2021,0.242,0.242,0.251,0.257,0.257,0.261,0.261,0.263,0.263,0.258,0.258,0.259
2022,0.279,0.279,0.310,0.303,0.303,0.311,0.311,0.311,0.311,0.307,0.307,0.307
2023,0.317,0.317,0.332,0.332,0.332,0.330,0.349,0.349,0.354,0.350,0.350,0.350
2024,0.412,0.412,0.413,0.413,0.413,0.419,0.381,0.381,0.383,0.389,,
