Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,0.087,0.086,0.086,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
1991,0.092,0.092,0.092,0.088,0.088,0.088,0.088,0.088,0.087,0.089,0.089,0.089
1992,0.089,0.087,0.087,0.085,0.085,0.085,0.085,0.085,0.085,0.088,0.088,0.088
1993,0.088,0.088,0.088,0.089,0.089,0.089,0.089,0.089,0.089,0.086,0.086,0.086
1994,0.086,0.084,0.084,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
1995,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.087,0.087,0.087
1996,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.089,0.089,0.089
1997,0.089,0.089,0.089,0.088,0.088,0.088,0.088,0.088,0.088,0.085,0.085,0.085
1998,0.085,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
1999,0.087,0.087,0.087,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
2000,0.080,0.080,0.080,0.080,0.080,0.085,0.085,0.085,0.085,0.085,0.085,0.085
2001,0.092,0.092,0.092,0.100,0.099,0.099,0.099,0.099,0.099,0.093,0.093,0.093
2002,0.093,0.093,0.093,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
2003,0.088,0.088,0.088,0.093,0.092,0.092,0.092,0.098,0.098,0.098,0.098,0.098
2004,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
2005,0.101,0.101,0.101,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104
2006,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127
2007,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122
2008,0.121,0.121,0.122,0.122,0.122,0.122,0.122,0.131,0.131,0.131,0.131,0.131
2009,0.129,0.129,0.129,0.129,0.128,0.126,0.126,0.126,0.128,0.128,0.131,0.131
2010,0.115,0.115,0.113,0.113,0.113,0.113,0.113,0.114,0.114,0.114,0.114,0.114
2011,0.114,0.114,0.114,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116
2012,0.114,0.114,0.114,0.114,0.115,0.115,0.114,0.114,0.114,0.114,0.114,0.114
2013,0.114,0.114,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.114
2014,0.120,0.119,0.120,0.122,0.122,0.122,0.121,0.121,0.121,0.121,0.110,0.121
2015,0.118,0.118,0.119,0.119,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116
2016,0.112,0.112,0.113,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
2017,0.118,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119
2018,0.119,0.119,0.119,0.119,0.119,0.119,0.118,0.118,0.118,0.118,0.118,0.118
2019,0.120,0.120,0.120,0.121,0.121,0.121,0.121,0.120,,0.120,0.107,0.118
2020,0.114,0.114,0.114,0.114,0.093,0.114,0.114,0.115,0.115,0.115,0.115,0.115
2021,0.117,0.117,0.117,0.117,0.121,0.121,0.121,0.122,0.121,0.121,0.121,0.121
2022,0.143,0.140,0.140,0.140,0.140,0.140,0.141,0.141,0.142,0.142,0.142,0.142
2023,0.147,0.151,0.151,0.168,0.163,0.162,0.158,0.158,0.158,0.158,0.158,0.158
2024,0.157,0.157,0.157,0.149,0.141,0.141,0.141,0.140,0.141,0.141,,
