Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,0.117,0.121,0.119,0.120,0.120,0.127,0.125,0.123,0.126,0.118,0.119,0.120
1991,0.122,0.122,0.121,0.120,0.121,0.131,0.129,0.129,0.128,0.120,0.120,0.121
1992,0.119,0.119,0.117,0.116,0.121,0.134,0.134,0.134,0.135,0.128,0.130,0.130
1993,0.131,0.131,0.132,0.135,0.138,0.147,0.145,0.147,0.147,0.137,0.137,0.137
1994,0.135,0.137,0.136,0.136,0.136,0.144,0.147,0.149,0.149,0.136,0.137,0.137
1995,0.137,0.139,0.140,0.139,0.141,0.150,0.152,0.150,0.143,0.134,0.135,0.136
1996,0.137,0.139,0.143,0.140,0.139,0.149,0.149,0.150,0.150,0.138,0.137,0.141
1997,0.138,0.142,0.142,0.138,0.138,0.150,0.150,0.150,0.149,0.135,0.136,0.138
1998,0.139,0.138,0.137,0.138,0.136,0.145,0.144,0.144,0.143,0.136,0.136,0.135
1999,0.134,0.135,0.134,0.133,0.131,0.144,0.145,0.141,0.141,0.138,0.136,0.135
2000,0.128,0.138,0.135,0.132,0.133,0.146,0.162,0.146,0.152,0.137,0.144,0.145
2001,0.149,0.139,0.138,0.133,0.129,0.143,0.150,0.142,0.135,0.121,0.117,0.118
2002,0.121,0.120,0.120,0.118,0.121,0.136,0.137,0.135,0.132,0.122,0.122,0.124
2003,0.123,0.128,0.132,0.134,0.134,0.144,0.148,0.150,0.149,0.136,0.131,0.132
2004,0.133,0.141,0.132,0.133,0.135,0.154,0.159,0.155,0.149,0.134,0.136,0.134
2005,0.141,0.140,0.138,0.141,0.145,0.162,0.167,0.167,0.169,0.166,0.170,0.160
2006,0.169,0.150,0.151,0.149,0.151,0.183,0.185,0.184,0.182,0.161,0.153,0.162
2007,0.168,0.164,0.169,0.168,0.176,0.199,0.199,0.191,0.187,0.175,0.172,0.174
2008,0.183,0.183,0.176,0.180,0.182,0.209,0.218,0.235,0.202,0.182,0.170,0.186
2009,0.192,0.186,0.189,0.186,0.188,0.210,0.212,0.206,0.210,0.195,0.195,0.193
2010,0.194,0.196,0.199,0.207,0.203,0.207,0.208,0.204,0.204,0.194,0.196,0.198
2011,0.193,0.191,0.192,0.189,0.197,0.204,0.210,0.200,0.205,0.191,0.188,0.184
2012,0.189,0.186,0.186,0.185,0.191,0.203,0.198,0.194,0.201,0.186,0.188,0.183
2013,0.202,0.196,0.188,0.186,0.193,0.203,0.208,0.197,0.213,0.188,0.191,0.196
2014,0.232,0.207,0.213,0.196,0.205,0.211,0.208,0.204,0.199,0.194,0.198,0.195
2015,0.208,0.220,0.195,0.197,0.192,0.207,0.201,0.198,0.195,0.185,0.186,0.182
2016,0.186,0.182,0.187,0.188,0.177,0.190,0.191,0.191,0.191,0.179,0.178,0.192
2017,0.189,0.194,0.192,0.189,0.202,0.208,0.205,0.201,0.203,0.190,0.200,0.208
2018,0.202,0.198,0.206,0.203,0.210,0.217,0.216,0.208,0.212,0.206,0.194,0.193
2019,0.202,0.196,0.201,0.197,0.194,0.211,0.207,0.202,0.205,0.194,0.197,0.193
2020,0.199,0.201,0.198,0.195,0.199,0.223,0.218,0.209,0.211,0.202,0.201,0.211
2021,0.213,0.219,0.188,0.208,0.214,0.222,0.216,0.226,0.222,0.214,0.207,0.200
2022,0.256,0.196,0.225,0.235,0.241,0.248,0.232,0.249,0.245,0.235,0.232,0.231
2023,0.243,0.237,0.223,0.216,0.219,0.246,0.251,0.253,0.252,0.233,0.245,0.241
2024,0.265,0.255,0.266,0.259,0.252,0.288,0.288,0.276,0.273,0.274,,
