Metropolitan Statistical Areas,2021 Dollars,2022 Dollars,2023 Dollars,US Rank 2023
"Abilene, TX","51,995","53,514","56,034",239
"Akron, OH","59,583","59,609","62,904",130
"Albany, GA","46,969","46,754","48,546",344
"Albany-Lebanon, OR","52,230","54,123","57,016",219
"Albany-Schenectady-Troy, NY","66,929","67,884","71,972",57
"Albuquerque, NM","52,372","54,687","57,278",216
"Alexandria, LA","51,240","51,601","53,765",270
"Allentown-Bethlehem-Easton, PA-NJ","61,836","62,900","66,493",94
"Altoona, PA","54,826","55,071","57,782",205
"Amarillo, TX","55,923","56,643","60,182",167
"Ames, IA","49,396","54,141","55,770",244
"Anchorage, AK","67,198","71,166","73,829",50
"Ann Arbor, MI","70,844","72,867","77,537",36
"Anniston-Oxford, AL","43,215","42,668","44,737",374
"Appleton, WI","59,152","61,306","64,216",115
"Asheville, NC","55,707","58,103","62,050",144
"Athens-Clarke County, GA","48,257","51,357","53,221",283
"Atlanta-Sandy Springs-Alpharetta, GA","63,281","64,840","68,027",85
"Atlantic City-Hammonton, NJ","57,601","57,267","60,493",162
"Auburn-Opelika, AL","45,218","46,140","48,511",347
"Augusta-Richmond County, GA-SC","49,994","50,248","52,069",298
"Austin-Round Rock-Georgetown, TX","70,971","75,999","80,471",25
"Bakersfield, CA","46,934","44,595","47,350",359
"Baltimore-Columbia-Towson, MD","70,211","72,580","76,923",38
"Bangor, ME","50,983","52,179","53,978",266
"Barnstable Town, MA","84,248","86,325","92,417",11
"Baton Rouge, LA","56,987","58,423","61,972",146
"Battle Creek, MI","45,745","46,210","47,947",352
"Bay City, MI","50,581","49,936","52,579",289
"Beaumont-Port Arthur, TX","48,592","48,741","51,459",308
"Beckley, WV","46,184","47,591","50,178",328
"Bellingham, WA","58,107","59,169","62,095",142
"Bend, OR","70,556","75,972","81,025",23
"Billings, MT","62,153","65,328","68,898",76
"Binghamton, NY","50,473","49,745","52,659",288
"Birmingham-Hoover, AL","60,940","62,993","66,502",93
"Bismarck, ND","67,193","69,701","72,043",56
"Blacksburg-Christiansburg, VA","44,712","47,014","50,496",323
"Bloomington, IL","58,808","59,028","61,174",153
"Bloomington, IN","52,318","54,178","56,651",228
"Bloomsburg-Berwick, PA","53,257","53,706","56,534",230
"Boise City, ID","58,086","61,112","63,689",123
"Boston-Cambridge-Newton, MA-NH","92,742","95,926","100,880",7
"Boulder, CO","92,317","95,454","100,242",8
"Bowling Green, KY","44,199","44,878","47,028",363
"Bremerton-Silverdale-Port Orchard, WA","66,369","68,389","73,841",49
"Bridgeport-Stamford-Norwalk, CT","121,905","130,214","139,006",3
"Brownsville-Harlingen, TX","38,105","36,934","38,523",383
"Brunswick, GA","53,262","54,933","57,595",210
"Buffalo-Cheektowaga, NY","56,855","57,503","61,106",156
"Burlington, NC","48,449","49,338","51,405",309
"Burlington-South Burlington, VT","64,575","68,465","71,933",58
"California-Lexington Park, MD","64,999","66,497","70,353",66
"Canton-Massillon, OH","52,884","53,757","56,549",229
"Cape Coral-Fort Myers, FL","61,275","61,510","65,878",100
"Cape Girardeau, MO-IL","48,290","50,322","53,822",268
"Carbondale-Marion, IL","48,705","49,337","51,949",299
"Carson City, NV","59,320","59,966","63,498",126
"Casper, WY","67,034","75,040","79,846",26
"Cedar Rapids, IA","59,415","61,485","63,448",127
"Chambersburg-Waynesboro, PA","54,799","56,112","58,380",193
"Champaign-Urbana, IL","55,044","56,627","59,680",179
"Charleston, WV","51,076","53,023","56,140",237
"Charleston-North Charleston, SC","61,901","64,567","68,486",80
"Charlotte-Concord-Gastonia, NC-SC","63,408","66,223","69,588",73
"Charlottesville, VA","78,496","84,021","90,472",13
"Chattanooga, TN-GA","53,797","56,016","58,813",191
"Cheyenne, WY","60,073","60,874","65,150",110
"Chicago-Naperville-Elgin, IL-IN-WI","71,206","73,317","77,429",37
"Chico, CA","55,937","53,962","56,847",224
"Cincinnati, OH-KY-IN","63,980","65,267","68,560",79
"Clarksville, TN-KY","48,414","48,814","51,007",315
"Cleveland, TN","45,751","47,189","48,971",339
"Cleveland-Elyria, OH","62,011","63,830","67,451",87
"Coeur d'Alene, ID","58,725","59,973","63,893",119
"College Station-Bryan, TX","48,850","48,638","51,507",305
"Colorado Springs, CO","59,608","62,021","65,775",101
"Columbia, MO","53,874","55,928","59,338",183
"Columbia, SC","54,066","54,683","57,976",199
"Columbus, GA-AL","46,669","47,512","49,717",331
"Columbus, IN","60,392","62,848","65,564",103
"Columbus, OH","60,921","62,311","65,277",106
"Corpus Christi, TX","53,136","53,182","56,264",234
"Corvallis, OR","55,284","56,253","60,307",166
"Crestview-Fort Walton Beach-Destin, FL","65,538","66,399","69,941",68
"Cumberland, MD-WV","48,276","47,150","49,268",336
"Dallas-Fort Worth-Arlington, TX","67,666","70,887","74,165",48
"Dalton, GA","44,259","44,001","45,373",372
"Danville, IL","49,237","49,732","51,471",307
"Daphne-Fairhope-Foley, AL","56,285","57,621","60,969",158
"Davenport-Moline-Rock Island, IA-IL","55,923","57,360","60,134",170
"Dayton-Kettering, OH","56,013","56,612","59,915",177
"Decatur, AL","45,604","46,778","48,528",346
"Decatur, IL","56,052","57,486","60,030",174
"Deltona-Daytona Beach-Ormond Beach, FL","52,896","53,695","57,280",215
"Denver-Aurora-Lakewood, CO","79,446","86,141","89,297",15
"Des Moines-West Des Moines, IA","63,195","65,423","68,420",81
"Detroit-Warren-Dearborn, MI","60,724","62,545","66,098",98
"Dothan, AL","50,131","50,430","52,512",292
"Dover, DE","49,496","50,931","52,494",294
"Dubuque, IA","57,897","61,190","63,435",128
"Duluth, MN-WI","54,093","54,990","57,316",214
"Durham-Chapel Hill, NC","62,626","65,122","68,654",77
"East Stroudsburg, PA","51,663","51,977","54,716",255
"Eau Claire, WI","55,502","57,015","59,135",185
"El Centro, CA","48,487","45,622","47,991",351
"Elizabethtown-Fort Knox, KY","50,683","51,431","53,708",272
"Elkhart-Goshen, IN","56,966","58,844","58,662",192
"Elmira, NY","51,914","52,228","53,850",267
"El Paso, TX","44,213","44,062","46,732",365
"Enid, OK","48,039","49,362","51,152",314
"Erie, PA","52,723","51,554","54,694",256
"Eugene-Springfield, OR","56,148","57,885","61,634",148
"Evansville, IN-KY","57,317","58,863","61,605",151
"Fairbanks, AK","65,085","67,899","69,775",71
"Fargo, ND-MN","63,126","65,666","68,326",84
"Farmington, NM","42,947","44,161","46,055",371
"Fayetteville, NC","45,121","45,803","47,602",358
"Fayetteville-Springdale-Rogers, AR","77,159","85,237","89,095",16
"Flagstaff, AZ","58,092","58,396","62,002",145
"Flint, MI","48,331","48,700","52,520",291
"Florence, SC","50,193","50,975","53,326",280
"Florence-Muscle Shoals, AL","44,559","44,899","47,156",362
"Fond du Lac, WI","56,767","58,178","60,018",175
"Fort Collins, CO","64,885","67,788","71,359",60
"Fort Smith, AR-OK","45,348","45,780","47,206",360
"Fort Wayne, IN","56,034","58,206","60,361",165
"Fresno, CA","51,977","50,440","52,728",287
"Gadsden, AL","42,777","43,196","45,062",373
"Gainesville, FL","50,186","50,847","54,166",262
"Gainesville, GA","55,114","57,126","60,036",173
"Gettysburg, PA","55,416","56,506","58,880",189
"Glens Falls, NY","55,002","55,799","59,040",187
"Goldsboro, NC","49,199","49,441","50,748",320
"Grand Forks, ND-MN","58,992","61,337","62,364",138
"Grand Island, NE","54,217","56,736","60,508",161
"Grand Junction, CO","52,891","55,220","57,653",208
"Grand Rapids-Kentwood, MI","61,100","62,288","65,239",107
"Grants Pass, OR","52,513","51,561","55,038",251
"Great Falls, MT","54,912","57,157","60,126",171
"Greeley, CO","56,330","59,270","62,532",135
"Green Bay, WI","59,613","60,880","63,575",125
"Greensboro-High Point, NC","51,874","53,734","56,030",240
"Greenville, NC","52,984","54,090","56,956",221
