City,"2023
rate",Rank
"Miami city, FL",1.8,1
"Minneapolis city, MN",2.6,2
"Omaha city, NE",2.6,2
"Honolulu County/city, HI",2.7,4
"Nashville-Davidson (consolidated) city, TN",2.7,4
"Virginia Beach city, VA",2.8,6
"Baltimore city, MD",2.9,7
"Oklahoma City city, OK",3.1,8
"Wichita city, KS",3.1,8
"Austin city, TX",3.2,10
"Boston city, MA",3.2,10
"Colorado Springs city, CO",3.2,10
"Jacksonville city, FL",3.2,10
"Raleigh city, NC",3.2,10
"Seattle city, WA",3.2,10
"Columbus city, OH",3.3,16
"Denver County/city, CO",3.3,16
"Indianapolis (consolidated) city, IN",3.3,16
"Kansas City city, MO",3.3,16
"San Francisco County/city, CA",3.3,16
"Albuquerque city, NM",3.4,21
"Charlotte city, NC",3.4,21
"Tulsa city, OK",3.4,21
"Mesa city, AZ",3.5,24
"Phoenix city, AZ",3.5,24
"Portland city, OR",3.6,26
"San Antonio city, TX",3.7,27
"San Jose city, CA",3.7,27
"Atlanta city, GA",3.8,29
"San Diego city, CA",3.8,29
"Dallas city, TX",3.9,31
"Fort Worth city, TX",3.9,31
"Louisville-Jefferson County (consolidated) city, KY",3.9,31
"Tucson city, AZ",4,34
"El Paso city, TX",4.2,35
"Philadelphia County/city, PA",4.2,35
"Milwaukee city, WI",4.3,37
"Houston city, TX",4.6,38
"Oakland city, CA",4.6,38
"Chicago city, IL",4.7,40
"Cleveland city, OH",4.7,40
"Sacramento city, CA",4.7,40
"Long Beach city, CA",4.9,43
"Memphis city, TN",4.9,43
"Washington city, DC",4.9,43
"New York city, NY",5.2,46
"Los Angeles city, CA",5.3,47
"Las Vegas city, NV",5.6,48
"Fresno city, CA",6.1,49
"Detroit city, MI",7.6,50
