DATE,CSUSHPINSA,MSPNHSUS
1990-01-01,137748.600,125000
1990-02-01,137856.600,126900
1990-03-01,138222.00,119400
1990-04-01,138668.400,130000
1990-05-01,139132.800,125000
1990-06-01,139507.19999999998200,125000
1990-07-01,139608.00,118700
1990-08-01,139462.200,118400
1990-09-01,139010.40000000001800,113000
1990-10-01,138441.59999999998200,120000
1990-11-01,137485.800,118900
1990-12-01,136749.600,127000
1991-01-01,135959.400,117900
1991-02-01,135448.200,119900
1991-03-01,135244.80000000001800,122500
1991-04-01,135567.000,121000
1991-05-01,136382.400,116000
1991-06-01,137251.800,119000
1991-07-01,137730.600,120000
1991-08-01,137869.200,120800
1991-09-01,137833.200,120000
1991-10-01,137322.00,122600
1991-11-01,136854.00,118500
1991-12-01,136519.200,122000
1992-01-01,136260.0,120000
1992-02-01,136179.000,117200
1992-03-01,136465.200,120000
1992-04-01,136944.00,120000
1992-05-01,137516.400,113000
1992-06-01,137883.600,124500
1992-07-01,138079.800,118000
1992-08-01,138117.600,123500
1992-09-01,137930.400,119500
1992-10-01,137876.400,125000
1992-11-01,137842.200,128900
1992-12-01,137637.000,126000
1993-01-01,137512.800,118000
1993-02-01,137390.400,129400
1993-03-01,137489.400,125000
1993-04-01,137989.800,127000
1993-05-01,138654.00,129900
1993-06-01,139528.800,124500
1993-07-01,140194.80000000001800,123900
1993-08-01,140635.800,126600
1993-09-01,140756.40000000001800,129400
1993-10-01,140709.600,125000
1993-11-01,140706.00,130000
1993-12-01,140605.19999999998200,125000
1994-01-01,140758.200,126000
1994-02-01,140769.000,129900
1994-03-01,141030.00,132300
1994-04-01,141661.80000000001800,129000
1994-05-01,142574.400,129900
1994-06-01,143461.80000000001800,133500
1994-07-01,144111.600,124400
1994-08-01,144568.800,133300
1994-09-01,144612.00,129700
1994-10-01,144549.000,132000
1994-11-01,144306.00,129900
1994-12-01,144142.200,135000
1995-01-01,144048.600,127900
1995-02-01,143987.400,135000
1995-03-01,144140.400,130000
1995-04-01,144664.200,134000
1995-05-01,145243.800,133900
1995-06-01,145922.400,133700
1995-07-01,146541.59999999998200,131000
1995-08-01,146979.000,134900
1995-09-01,147130.19999999998200,130000
1995-10-01,147108.600,135200
1995-11-01,146935.800,137000
1995-12-01,146725.200,138600
1996-01-01,146570.400,131900
1996-02-01,146520.0,139400
1996-03-01,146998.800,137000
1996-04-01,147825.000,140000
1996-05-01,148683.600,136500
1996-06-01,149488.19999999998200,140000
1996-07-01,150154.200,144200
1996-08-01,150562.800,137000
1996-09-01,150663.60000000001800,139000
1996-10-01,150532.19999999998200,143800
1996-11-01,150400.800,143500
1996-12-01,150282.00,144900
1997-01-01,150355.800,145000
1997-02-01,150474.60000000001800,143000
1997-03-01,151041.600,148000
1997-04-01,151779.600,150000
1997-05-01,152757.000,141000
1997-06-01,153718.200,145000
1997-07-01,154515.60000000001800,145900
1997-08-01,155071.80000000001800,144000
1997-09-01,155359.800,146300
1997-10-01,155536.19999999998200,141500
1997-11-01,155939.400,145000
1997-12-01,156328.19999999998200,145900
1998-01-01,156895.200,148000
1998-02-01,157271.39999999998200,156000
1998-03-01,158178.60000000001800,152700
1998-04-01,159404.39999999998200,148000
1998-05-01,160875.000,153200
1998-06-01,162351.000,148000
1998-07-01,163548.00,149900
1998-08-01,164534.39999999998200,154900
1998-09-01,165153.60000000001800,155000
1998-10-01,165600.0,154500
1998-11-01,165954.600,151000
1998-12-01,166399.200,152500
1999-01-01,166887.000,153100
1999-02-01,167367.60000000001800,160000
1999-03-01,168501.60000000001800,157300
1999-04-01,169986.60000000001800,159900
1999-05-01,171649.800,154400
1999-06-01,173455.19999999998200,159300
1999-07-01,174947.400,158200
1999-08-01,176216.400,154800
1999-09-01,177120.0,163200
1999-10-01,177899.400,161100
1999-11-01,178468.200,172000
1999-12-01,179177.39999999998200,164800
2000-01-01,180000.00,163500
2000-02-01,181027.800,162400
2000-03-01,182638.80000000001800,165100
2000-04-01,184573.800,162600
2000-05-01,186663.60000000001800,164700
2000-06-01,188740.80000000001800,160100
2000-07-01,190299.60000000001800,169000
2000-08-01,191739.600,166600
2000-09-01,192844.80000000001800,171500
2000-10-01,193912.200,176300
2000-11-01,194925.600,174700
2000-12-01,195825.600,162000
2001-01-01,196587.000,171300
2001-02-01,197357.39999999998200,169100
2001-03-01,198711.000,166300
2001-04-01,200246.39999999998200,175200
2001-05-01,201965.39999999998200,175300
2001-06-01,203891.400,179400
2001-07-01,205608.600,175000
2001-08-01,206980.19999999998200,173700
2001-09-01,207838.80000000001800,166400
2001-10-01,208225.800,171300
2001-11-01,208508.400,168100
2001-12-01,208899.000,180200
2002-01-01,209586.60000000001800,187100
2002-02-01,210450.600,191100
2002-03-01,212272.200,183400
2002-04-01,214576.200,187100
2002-05-01,217418.400,181000
2002-06-01,220201.200,190600
2002-07-01,222638.39999999998200,175600
2002-08-01,224515.80000000001800,178900
2002-09-01,225891.000,177500
2002-10-01,227048.39999999998200,189200
2002-11-01,227957.39999999998200,181200
2002-12-01,228871.80000000001800,197600
2003-01-01,229773.600,181700
2003-02-01,230986.800,187000
2003-03-01,232756.200,185100
2003-04-01,234880.200,189500
2003-05-01,237312.00,195500
2003-06-01,239806.800,187900
2003-07-01,242364.60000000003600,190200
2003-08-01,244738.800,190500
2003-09-01,246738.600,192000
2003-10-01,248358.600,194100
2003-11-01,249780.600,207100
2003-12-01,251332.200,196000
2004-01-01,253270.80000000003600,209500
2004-02-01,255650.400,219600
2004-03-01,259344.00,209600
2004-04-01,263124.00,222300
2004-05-01,267004.800,211700
2004-06-01,270936.00,215700
2004-07-01,274210.200,212400
2004-08-01,276868.800,218100
2004-09-01,279198.00,211600
2004-10-01,281340.0,229200
2004-11-01,283496.400,224500
2004-12-01,285609.600,229600
2005-01-01,288235.800,223100
2005-02-01,291465.000,237300
2005-03-01,296238.600,229300
2005-04-01,300601.79999999996400,236300
2005-05-01,305182.800,228300
2005-06-01,309630.600,226100
2005-07-01,313378.20000000003600,229200
2005-08-01,316663.200,240100
2005-09-01,319701.600,240400
2005-10-01,321755.400,243900
2005-11-01,323415.000,237900
2005-12-01,324194.400,238600
2006-01-01,325492.200,244900
2006-02-01,326701.79999999996400,250800
2006-03-01,328950.00,238800
2006-04-01,330568.200,257000
2006-05-01,331884.00,238200
2006-06-01,332184.600,243200
2006-07-01,332294.400,238100
2006-08-01,331929.000,243900
2006-09-01,331556.39999999996400,226700
2006-10-01,331297.200,250400
2006-11-01,330537.600,240100
2006-12-01,329814.00,244700
2007-01-01,328894.20000000003600,254400
2007-02-01,328447.79999999996400,250800
2007-03-01,327949.20000000003600,262600
2007-04-01,327837.600,242500
2007-05-01,327394.800,245000
2007-06-01,326773.800,235500
2007-07-01,325789.20000000005400,246200
2007-08-01,324423.000,236500
2007-09-01,322419.600,240300
2007-10-01,319554.00,234300
2007-11-01,315291.600,249100
2007-12-01,312008.400,227700
2008-01-01,307938.600,232400
2008-02-01,304542.00,245300
2008-03-01,302225.400,229300
2008-04-01,301181.39999999996400,246400
2008-05-01,300637.800,229300
2008-06-01,299768.39999999996400,234300
2008-07-01,298285.20000000005400,237300
2008-08-01,295702.20000000003600,221000
2008-09-01,291443.39999999996400,225200
2008-10-01,286495.200,213200
2008-11-01,280929.600,221600
2008-12-01,274581.000,229600
2009-01-01,268851.600,208600
2009-02-01,265712.400,209700
2009-03-01,263727.000,205100
2009-04-01,264497.39999999996400,219200
2009-05-01,266706.00,222300
2009-06-01,269634.600,214700
2009-07-01,271348.200,214200
2009-08-01,271204.19999999996400,207100
2009-09-01,269332.200,216600
2009-10-01,267454.800,215100
2009-11-01,266293.800,218800
2009-12-01,263998.800,222600
2010-01-01,261005.400,218200
2010-02-01,257497.200,221900
2010-03-01,258472.800,224800
2010-04-01,261723.60000000003600,208300
2010-05-01,264668.39999999996400,230500
2010-06-01,265865.400,219500
2010-07-01,265613.400,212100
2010-08-01,263568.60000000003600,226600
2010-09-01,260292.600,228000
2010-10-01,257630.400,204200
2010-11-01,255272.39999999996400,219600
2010-12-01,253128.600,241200
2011-01-01,250263.000,240100
2011-02-01,247914.00,220100
2011-03-01,248011.200,220500
2011-04-01,250482.600,224700
2011-05-01,253243.800,222000
2011-06-01,255499.200,240200
2011-07-01,256213.800,229900
2011-08-01,255211.200,219600
2011-09-01,252298.800,217000
2011-10-01,249132.600,224800
2011-11-01,245991.600,214300
2011-12-01,243295.200,218600
2012-01-01,241497.000,221700
2012-02-01,241189.200,239900
2012-03-01,244551.600,239800
2012-04-01,249240.600,236400
2012-05-01,253879.19999999996400,239200
2012-06-01,257698.800,232600
2012-07-01,259705.800,237400
2012-08-01,260467.200,253200
2012-09-01,259839.000,254600
2012-10-01,259133.400,247200
2012-11-01,259119.000,245000
2012-12-01,258951.600,258300
2013-01-01,259754.400,251500
2013-02-01,261288.00,265100
2013-03-01,266328.00,257500
2013-04-01,271744.200,279300
2013-05-01,276944.400,263700
2013-06-01,281565.000,259800
2013-07-01,284911.200,262200
2013-08-01,286903.800,255300
2013-09-01,287404.19999999996400,269800
2013-10-01,287197.200,264300
2013-11-01,286851.600,277100
2013-12-01,286702.200,275500
2014-01-01,286857.000,269800
2014-02-01,287760.60000000003600,268400
2014-03-01,290131.200,282300
2014-04-01,293337.000,274500
2014-05-01,296424.00,285600
2014-06-01,299176.200,287000
2014-07-01,300837.600,280400
2014-08-01,301402.800,291700
2014-09-01,301026.600,261500
2014-10-01,300430.79999999996400,297000
2014-11-01,299977.20000000003600,298300
2014-12-01,299619.000,301500
2015-01-01,299239.20000000005400,292000
2015-02-01,299925.000,286600
2015-03-01,302549.400,286600
2015-04-01,305937.000,294500
2015-05-01,309322.79999999996400,287500
2015-06-01,312202.800,285100
2015-07-01,314085.60000000003600,292300
2015-08-01,314879.400,293000
2015-09-01,315070.20000000003600,299500
2015-10-01,315079.200,298000
2015-11-01,315243.000,312600
2015-12-01,315192.600,297100
2016-01-01,315048.60000000003600,288400
2016-02-01,315487.800,305800
2016-03-01,317869.20000000003600,303200
2016-04-01,321283.79999999998200,318300
2016-05-01,324612.00,295200
2016-06-01,327438.00,311200
2016-07-01,329419.800,297400
2016-08-01,330566.400,298900
2016-09-01,331084.79999999996400,314800
2016-10-01,331216.20000000001800,302800
2016-11-01,331597.79999999996400,315000
2016-12-01,331907.400,327000
2017-01-01,332362.800,315200
2017-02-01,333025.200,298000
2017-03-01,335739.60000000003600,321700
2017-04-01,339363.000,311100
2017-05-01,342955.79999999996400,323600
2017-06-01,346064.39999999996400,315200
2017-07-01,348307.20000000003600,322900
2017-08-01,349810.20000000005400,314200
2017-09-01,350656.20000000005400,331500
2017-10-01,351135.000,319500.0
2017-11-01,351793.79999999994600,343400.0
2017-12-01,352508.400,343300.0
2018-01-01,352990.800,329600.0
2018-02-01,354412.800,327200.0
2018-03-01,357415.20000000003600,335400.0
2018-04-01,361089.000,314400.0
2018-05-01,364395.600,316700.0
2018-06-01,367259.400,310500.0
2018-07-01,368892.00,327500.0
2018-08-01,369572.39999999996400,321400.0
2018-09-01,369657.000,328300.0
2018-10-01,369649.800,328300.0
2018-11-01,369178.20000000003600,308500.0
2018-12-01,368440.20000000003600,329700.0
2019-01-01,367543.79999999994600,305400.0
2019-02-01,367950.600,320800.0
2019-03-01,370377.000,310600.0
2019-04-01,373822.200,339000.0
2019-05-01,376817.400,312700.0
2019-06-01,379040.400,311800.0
2019-07-01,380390.400,308300.0
2019-08-01,381036.600,327000.0
2019-09-01,381357.000,315700.0
2019-10-01,381524.400,322400.0
2019-11-01,381772.79999999996400,328000.0
2019-12-01,382012.200,329500.0
2020-01-01,382303.800,328900.0
2020-02-01,383781.60000000003600,331800.0
2020-03-01,387334.79999999996400,328200.0
2020-04-01,391012.200,309500.0
2020-05-01,393256.800,315900.0
2020-06-01,395647.200,325500.0
2020-07-01,398815.20000000003600,320400.0
2020-08-01,403284.600,321400.0
2020-09-01,408240.0,332200.0
2020-10-01,413661.600,335000.0
2020-11-01,418168.79999999994600,333600.0
2020-12-01,421855.200,339300.0
2021-01-01,425581.20000000005400,354800.0
2021-02-01,430579.79999999996400,351400.0
2021-03-01,439569.000,342700.0
2021-04-01,449659.79999999996400,364400.0
2021-05-01,459783.000,372700.0
2021-06-01,470089.800,361100.0
2021-07-01,477900.0,385000.0
2021-08-01,483796.800,402700.0
2021-09-01,488574.00,398500.0
2021-10-01,492550.200,416800.0
2021-11-01,496816.200,419600.0
2021-12-01,501444.00,410600.0
2022-01-01,507513.600,413600.0
2022-02-01,516904.20000000007200,402300.0
2022-03-01,530958.60000000005400,420100.0
2022-04-01,542910.600,439500.0
2022-05-01,551503.79999999992800,429400.0
2022-06-01,554731.200,431700.0
2022-07-01,552630.600,442900.0
2022-08-01,546465.600,431900.0
2022-09-01,540777.600,434200.0
2022-10-01,537589.800,460300.0
2022-11-01,534339.000,427700.0
2022-12-01,529815.600,427900.0
2023-01-01,527106.600,408200.0
2023-02-01,528494.400,433300
2023-03-01,535591.800,438900.0
2023-04-01,543024.00,417200.0
2023-05-01,549995.400,421200.0
2023-06-01,555307.200,417600.0
2023-07-01,558754.20000000007200,435800.0
2023-08-01,561209.400,440900.0
2023-09-01,562737.600,426100.0
