DATE,M2SL
1990-01-01,3166.8
1990-02-01,3179.2
1990-03-01,3190.1
1990-04-01,3201.6
1990-05-01,3200.6
1990-06-01,3213.7
1990-07-01,3224.5
1990-08-01,3242.0
1990-09-01,3254.6
1990-10-01,3259.3
1990-11-01,3262.6
1990-12-01,3271.8
1991-01-01,3287.7
1991-02-01,3304.5
1991-03-01,3321.9
1991-04-01,3332.4
1991-05-01,3343.0
1991-06-01,3351.9
1991-07-01,3356.1
1991-08-01,3355.0
1991-09-01,3354.9
1991-10-01,3360.1
1991-11-01,3365.5
1991-12-01,3372.2
1992-01-01,3381.2
1992-02-01,3400.0
1992-03-01,3403.9
1992-04-01,3399.7
1992-05-01,3398.6
1992-06-01,3393.4
1992-07-01,3393.9
1992-08-01,3398.8
1992-09-01,3410.3
1992-10-01,3423.8
1992-11-01,3426.5
1992-12-01,3424.7
1993-01-01,3419.1
1993-02-01,3414.5
1993-03-01,3411.7
1993-04-01,3411.3
1993-05-01,3436.9
1993-06-01,3442.4
1993-07-01,3442.0
1993-08-01,3445.7
1993-09-01,3452.2
1993-10-01,3456.7
1993-11-01,3470.1
1993-12-01,3474.5
1994-01-01,3474.9
1994-02-01,3475.7
1994-03-01,3480.1
1994-04-01,3481.3
1994-05-01,3490.8
1994-06-01,3479.5
1994-07-01,3488.2
1994-08-01,3485.7
1994-09-01,3486.1
1994-10-01,3484.3
1994-11-01,3487.2
1994-12-01,3486.4
1995-01-01,3492.4
1995-02-01,3489.9
1995-03-01,3491.1
1995-04-01,3499.2
1995-05-01,3524.2
1995-06-01,3548.9
1995-07-01,3567.4
1995-08-01,3589.0
1995-09-01,3602.1
1995-10-01,3613.4
1995-11-01,3619.9
1995-12-01,3629.5
1996-01-01,3647.9
1996-02-01,3661.8
1996-03-01,3686.9
1996-04-01,3697.7
1996-05-01,3709.6
1996-06-01,3722.5
1996-07-01,3737.1
1996-08-01,3744.0
1996-09-01,3753.4
1996-10-01,3772.8
1996-11-01,3795.1
1996-12-01,3818.6
1997-01-01,3834.6
1997-02-01,3846.3
1997-03-01,3861.2
1997-04-01,3877.0
1997-05-01,3889.2
1997-06-01,3906.0
1997-07-01,3923.9
1997-08-01,3957.4
1997-09-01,3973.1
1997-10-01,3992.3
1997-11-01,4014.8
1997-12-01,4032.9
1998-01-01,4056.2
1998-02-01,4088.9
1998-03-01,4114.3
1998-04-01,4140.2
1998-05-01,4164.4
1998-06-01,4184.1
1998-07-01,4203.8
1998-08-01,4228.7
1998-09-01,4267.7
1998-10-01,4307.9
1998-11-01,4346.6
1998-12-01,4375.6
1999-01-01,4403.0
1999-02-01,4425.8
1999-03-01,4432.6
1999-04-01,4461.4
1999-05-01,4486.1
1999-06-01,4508.0
1999-07-01,4535.4
1999-08-01,4552.7
1999-09-01,4568.8
1999-10-01,4592.7
1999-11-01,4611.8
1999-12-01,4639.3
2000-01-01,4667.6
2000-02-01,4680.9
2000-03-01,4711.7
2000-04-01,4767.8
2000-05-01,4755.7
2000-06-01,4773.6
2000-07-01,4791.3
2000-08-01,4819.5
2000-09-01,4855.3
2000-10-01,4871.4
2000-11-01,4882.8
2000-12-01,4927.7
2001-01-01,4978.4
2001-02-01,5017.1
2001-03-01,5074.9
2001-04-01,5139.2
2001-05-01,5137.3
2001-06-01,5180.3
2001-07-01,5210.2
2001-08-01,5243.9
2001-09-01,5355.3
2001-10-01,5344.0
2001-11-01,5387.7
2001-12-01,5440.7
2002-01-01,5461.1
2002-02-01,5490.4
2002-03-01,5502.2
2002-04-01,5502.3
2002-05-01,5528.5
2002-06-01,5553.5
2002-07-01,5596.2
2002-08-01,5638.4
2002-09-01,5662.5
2002-10-01,5707.2
2002-11-01,5758.2
2002-12-01,5779.5
2003-01-01,5812.3
2003-02-01,5848.4
2003-03-01,5868.6
2003-04-01,5905.7
2003-05-01,5965.5
2003-06-01,6002.4
2003-07-01,6049.4
2003-08-01,6107.3
2003-09-01,6079.9
2003-10-01,6070.2
2003-11-01,6075.7
2003-12-01,6074.0
2004-01-01,6082.2
2004-02-01,6121.9
2004-03-01,6158.0
2004-04-01,6199.1
2004-05-01,6275.9
2004-06-01,6278.1
2004-07-01,6291.3
2004-08-01,6317.9
2004-09-01,6352.3
2004-10-01,6379.9
2004-11-01,6406.5
2004-12-01,6424.7
2005-01-01,6431.0
2005-02-01,6439.1
2005-03-01,6448.4
2005-04-01,6462.0
2005-05-01,6479.2
2005-06-01,6511.8
2005-07-01,6543.7
2005-08-01,6576.5
2005-09-01,6610.3
2005-10-01,6644.1
2005-11-01,6660.8
2005-12-01,6688.0
2006-01-01,6730.3
2006-02-01,6754.9
2006-03-01,6769.5
2006-04-01,6807.0
2006-05-01,6813.9
2006-06-01,6852.1
2006-07-01,6893.9
2006-08-01,6925.3
2006-09-01,6952.6
2006-10-01,7002.0
2006-11-01,7037.5
2006-12-01,7080.4
2007-01-01,7118.5
2007-02-01,7134.6
2007-03-01,7168.5
2007-04-01,7241.0
2007-05-01,7254.9
2007-06-01,7288.1
2007-07-01,7319.0
2007-08-01,7395.1
2007-09-01,7413.3
2007-10-01,7428.4
2007-11-01,7453.8
2007-12-01,7484.2
2008-01-01,7517.8
2008-02-01,7604.2
2008-03-01,7670.3
2008-04-01,7712.8
2008-05-01,7725.5
2008-06-01,7744.2
2008-07-01,7791.5
2008-08-01,7806.1
2008-09-01,7872.7
2008-10-01,7975.3
2008-11-01,8027.3
2008-12-01,8205.0
2009-01-01,8289.4
2009-02-01,8319.6
2009-03-01,8386.7
2009-04-01,8391.4
2009-05-01,8449.5
2009-06-01,8459.5
2009-07-01,8463.8
2009-08-01,8463.3
2009-09-01,8461.8
2009-10-01,8488.1
2009-11-01,8517.3
2009-12-01,8512.5
2010-01-01,8478.0
2010-02-01,8527.6
2010-03-01,8523.7
2010-04-01,8555.1
2010-05-01,8609.3
2010-06-01,8628.4
2010-07-01,8639.8
2010-08-01,8688.2
2010-09-01,8718.9
2010-10-01,8768.7
2010-11-01,8789.3
2010-12-01,8822.9
2011-01-01,8845.2
2011-02-01,8909.0
2011-03-01,8967.0
2011-04-01,9030.4
2011-05-01,9102.7
2011-06-01,9176.7
2011-07-01,9338.7
2011-08-01,9525.1
2011-09-01,9545.3
2011-10-01,9578.1
2011-11-01,9629.8
2011-12-01,9677.4
2012-01-01,9750.5
2012-02-01,9802.2
2012-03-01,9846.2
2012-04-01,9899.8
2012-05-01,9943.0
2012-06-01,10013.0
2012-07-01,10065.7
2012-08-01,10136.4
2012-09-01,10216.6
2012-10-01,10282.8
2012-11-01,10351.8
2012-12-01,10474.4
2013-01-01,10497.6
2013-02-01,10516.6
2013-03-01,10572.9
2013-04-01,10600.4
2013-05-01,10634.7
2013-06-01,10692.3
2013-07-01,10731.5
2013-08-01,10789.6
2013-09-01,10850.0
2013-10-01,10974.2
2013-11-01,10982.9
2013-12-01,11047.8
2014-01-01,11117.6
2014-02-01,11183.2
2014-03-01,11219.1
2014-04-01,11264.0
2014-05-01,11328.5
2014-06-01,11383.7
2014-07-01,11438.4
2014-08-01,11462.5
2014-09-01,11503.7
2014-10-01,11577.5
2014-11-01,11618.2
2014-12-01,11701.9
2015-01-01,11774.2
2015-02-01,11880.4
2015-03-01,11892.9
2015-04-01,11932.5
2015-05-01,11963.8
2015-06-01,12011.1
2015-07-01,12061.1
2015-08-01,12110.8
2015-09-01,12170.3
2015-10-01,12211.2
2015-11-01,12301.0
2015-12-01,12361.5
2016-01-01,12490.8
2016-02-01,12557.6
2016-03-01,12620.2
2016-04-01,12703.7
2016-05-01,12775.9
2016-06-01,12841.1
2016-07-01,12902.2
2016-08-01,12988.9
2016-09-01,13047.9
2016-10-01,13112.8
2016-11-01,13182.4
2016-12-01,13215.3
2017-01-01,13286.4
2017-02-01,13351.2
2017-03-01,13420.1
2017-04-01,13481.0
2017-05-01,13539.7
2017-06-01,13564.1
2017-07-01,13628.9
2017-08-01,13688.0
2017-09-01,13733.8
2017-10-01,13788.5
2017-11-01,13814.7
2017-12-01,13860.3
2018-01-01,13869.2
2018-02-01,13907.3
2018-03-01,13966.4
2018-04-01,13989.3
2018-05-01,14055.7
2018-06-01,14117.5
2018-07-01,14157.0
2018-08-01,14206.0
2018-09-01,14238.2
2018-10-01,14248.1
2018-11-01,14258.7
2018-12-01,14369.9
2019-01-01,14432.7
2019-02-01,14470.5
2019-03-01,14513.9
2019-04-01,14548.1
2019-05-01,14660.8
2019-06-01,14782.9
2019-07-01,14865.4
2019-08-01,14947.6
2019-09-01,15039.5
2019-10-01,15174.6
2019-11-01,15273.3
2019-12-01,15334.3
2020-01-01,15401.3
2020-02-01,15453.8
2020-03-01,15980.6
2020-04-01,16999.0
2020-05-01,17868.4
2020-06-01,18161.5
2020-07-01,18311.4
2020-08-01,18382.2
2020-09-01,18606.8
2020-10-01,18758.1
2020-11-01,18972.9
2020-12-01,19109.9
2021-01-01,19334.6
2021-02-01,19570.8
2021-03-01,19809.6
2021-04-01,20135.3
2021-05-01,20439.5
2021-06-01,20482.4
2021-07-01,20633.4
2021-08-01,20844.4
2021-09-01,20973.8
2021-10-01,21153.7
2021-11-01,21327.6
2021-12-01,21507.8
2022-01-01,21566.1
2022-02-01,21621.0
2022-03-01,21722.8
2022-04-01,21723.2
2022-05-01,21696.6
2022-06-01,21652.4
2022-07-01,21644.5
2022-08-01,21626.7
2022-09-01,21507.7
2022-10-01,21433.4
2022-11-01,21367.1
2022-12-01,21273.2
2023-01-01,21188.1
2023-02-01,21117.6
2023-03-01,20870.5
2023-04-01,20711.9
2023-05-01,20804.6
2023-06-01,20788.4
2023-07-01,20762.6
2023-08-01,20735.1
2023-09-01,20681.4
2023-10-01,20662.5
2023-11-01,20675.8
2023-12-01,20725.5
2024-01-01,20726.0
2024-02-01,20762.0
2024-03-01,20863.0
2024-04-01,20881.2
2024-05-01,20959.5
2024-06-01,21020.1
2024-07-01,21039.4
2024-08-01,21141.3
2024-09-01,21222.7
2024-10-01,21311.2
